Cluster_0000	Zm00001d025036,Zm00001d025037
Cluster_0729	Zm00001d003016,Zm00001d003015
Cluster_0730	Zm00001d003019,Zm00001d003021,Zm00001d003023
Cluster_0731	Zm00001d003020,Zm00001d003022,Zm00001d003024
Cluster_0732	Zm00001d003045,Zm00001d003046,Zm00001d003044
Cluster_0733	Zm00001d001924,Zm00001d001927
Cluster_0735	Zm00001d003058,Zm00001d003059,Zm00001d003053
Cluster_0737	Zm00001d003066,Zm00001d003067
Cluster_0738	Zm00001d003072,Zm00001d003070,Zm00001d003069
Cluster_0739	Zm00001d001941,Zm00001d001944,Zm00001d001943
Cluster_0740	Zm00001d003140,Zm00001d003142,Zm00001d003144
Cluster_0741	Zm00001d003150,Zm00001d003154
Cluster_0742	Zm00001d003151,Zm00001d003155
Cluster_0743	Zm00001d003173,Zm00001d003174
Cluster_0744	Zm00001d003185,Zm00001d003187,Zm00001d003184,Zm00001d003186,Zm00001d003183
Cluster_0745	Zm00001d003188,Zm00001d003190,Zm00001d003191
Cluster_0746	Zm00001d001961,Zm00001d001963,Zm00001d001964
Cluster_0748	Zm00001d003237,Zm00001d003240,Zm00001d003234,Zm00001d003232,Zm00001d003235,Zm00001d003231
Cluster_0752	Zm00001d003278,Zm00001d003277,Zm00001d003280,Zm00001d003279
Cluster_0755	Zm00001d003364,Zm00001d003363,Zm00001d003356,Zm00001d003365,Zm00001d003358,Zm00001d003355,Zm00001d003357,Zm00001d003353
Cluster_0757	Zm00001d003396,Zm00001d003397
Cluster_0758	Zm00001d002018,Zm00001d002014,Zm00001d002016,Zm00001d002015,Zm00001d002017
Cluster_0759	Zm00001d003434,Zm00001d003432,Zm00001d003436
Cluster_0760	Zm00001d002020,Zm00001d002013,Zm00001d002019
Cluster_0761	Zm00001d003476,Zm00001d003473,Zm00001d003471,Zm00001d003469,Zm00001d003468,Zm00001d003472
Cluster_0763	Zm00001d003483,Zm00001d003488
Cluster_0769	Zm00001d003566,Zm00001d003567
Cluster_0770	Zm00001d003606,Zm00001d003607,Zm00001d003605
Cluster_0772	Zm00001d002057,Zm00001d002055
Cluster_0775	Zm00001d002066,Zm00001d002067
Cluster_0778	Zm00001d003675,Zm00001d003674
Cluster_0779	Zm00001d002072,Zm00001d002074,Zm00001d002069,Zm00001d002071
Cluster_0780	Zm00001d003683,Zm00001d003680
Cluster_0782	Zm00001d003696,Zm00001d003701,Zm00001d003695,Zm00001d003699
Cluster_0784	Zm00001d003719,Zm00001d003722
Cluster_0786	Zm00001d003757,Zm00001d003760
Cluster_0787	Zm00001d003786,Zm00001d003791,Zm00001d003794
Cluster_0789	Zm00001d003810,Zm00001d003808
Cluster_0793	Zm00001d003867,Zm00001d003866
Cluster_0796	Zm00001d002161,Zm00001d002159,Zm00001d002158,Zm00001d002160
Cluster_0797	Zm00001d003939,Zm00001d003941,Zm00001d003938
Cluster_0798	Zm00001d003950,Zm00001d003949,Zm00001d003954
Cluster_0799	Zm00001d002174,Zm00001d002172,Zm00001d002178,Zm00001d002168,Zm00001d002175,Zm00001d002167,Zm00001d002173,Zm00001d002181
Cluster_0801	Zm00001d002179,Zm00001d002182
Cluster_0803	Zm00001d004025,Zm00001d004033
Cluster_0806	Zm00001d004072,Zm00001d004074,Zm00001d004078,Zm00001d004079
Cluster_0807	Zm00001d002199,Zm00001d002198
Cluster_0808	Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229
Cluster_0809	Zm00001d002207,Zm00001d002220,Zm00001d002227,Zm00001d002213
Cluster_0810	Zm00001d002208,Zm00001d002221,Zm00001d002214,Zm00001d002228,Zm00001d002202
Cluster_0811	Zm00001d002216,Zm00001d002217,Zm00001d002205,Zm00001d002225,Zm00001d002211,Zm00001d002232,Zm00001d002231,Zm00001d002204,Zm00001d002224,Zm00001d002230
Cluster_0814	Zm00001d004183,Zm00001d004184
Cluster_0817	Zm00001d004230,Zm00001d004234
Cluster_0818	Zm00001d004231,Zm00001d004232
Cluster_0819	Zm00001d002287,Zm00001d002282,Zm00001d002283
Cluster_0820	Zm00001d004260,Zm00001d004259
Cluster_0823	Zm00001d039285,Zm00001d039280
Cluster_0824	Zm00001d041173,Zm00001d041168
Cluster_0825	Zm00001d041212,Zm00001d041213
Cluster_0829	Zm00001d041362,Zm00001d041365,Zm00001d041358
Cluster_0832	Zm00001d039680,Zm00001d039679
Cluster_0834	Zm00001d041450,Zm00001d041453
Cluster_0837	Zm00001d041563,Zm00001d041559
Cluster_0838	Zm00001d041570,Zm00001d041571
Cluster_0842	Zm00001d039731,Zm00001d039729
Cluster_0843	Zm00001d041656,Zm00001d041663
Cluster_0844	Zm00001d041684,Zm00001d041678
Cluster_0846	Zm00001d041776,Zm00001d041777
Cluster_0847	Zm00001d041806,Zm00001d041808
Cluster_0848	Zm00001d041809,Zm00001d041810,Zm00001d041811
Cluster_0850	Zm00001d041842,Zm00001d041836,Zm00001d041843
Cluster_0852	Zm00001d041904,Zm00001d041907
Cluster_0854	Zm00001d041987,Zm00001d041985,Zm00001d041984
Cluster_0855	Zm00001d041998,Zm00001d041996,Zm00001d041997
Cluster_0857	Zm00001d042072,Zm00001d042071
Cluster_0859	Zm00001d039795,Zm00001d039799
Cluster_0861	Zm00001d042095,Zm00001d042098,Zm00001d042099,Zm00001d042104,Zm00001d042096,Zm00001d042102,Zm00001d042101,Zm00001d042100
Cluster_0862	Zm00001d042107,Zm00001d042108
Cluster_0864	Zm00001d042122,Zm00001d042125,Zm00001d042123
Cluster_0866	Zm00001d042134,Zm00001d042136,Zm00001d042135
Cluster_0867	Zm00001d042137,Zm00001d042141,Zm00001d042140,Zm00001d042143,Zm00001d042138
Cluster_0869	Zm00001d039807,Zm00001d039805,Zm00001d039817,Zm00001d039802,Zm00001d039803,Zm00001d039818,Zm00001d039796
Cluster_0872	Zm00001d042169,Zm00001d042173
Cluster_0873	Zm00001d042172,Zm00001d042175,Zm00001d042178
Cluster_0876	Zm00001d042207,Zm00001d042210,Zm00001d042209,Zm00001d042204
Cluster_0877	Zm00001d039816,Zm00001d039808,Zm00001d039810
Cluster_0878	Zm00001d042229,Zm00001d042226,Zm00001d042231
Cluster_0880	Zm00001d042275,Zm00001d042274
Cluster_0881	Zm00001d042281,Zm00001d042279,Zm00001d042276
Cluster_0882	Zm00001d039824,Zm00001d039822
Cluster_0884	Zm00001d039833,Zm00001d039837,Zm00001d039840
Cluster_0886	Zm00001d042400,Zm00001d042410
Cluster_0887	Zm00001d042402,Zm00001d042403
Cluster_0888	Zm00001d042519,Zm00001d042512,Zm00001d042511
Cluster_0890	Zm00001d042541,Zm00001d042540
Cluster_0891	Zm00001d042561,Zm00001d042568,Zm00001d042562,Zm00001d042564,Zm00001d042563
Cluster_0896	Zm00001d042683,Zm00001d042684,Zm00001d042680
Cluster_0898	Zm00001d042692,Zm00001d042693
Cluster_0901	Zm00001d042749,Zm00001d042748,Zm00001d042750
Cluster_0904	Zm00001d042771,Zm00001d042770,Zm00001d042769,Zm00001d042768
Cluster_0905	Zm00001d042789,Zm00001d042791
Cluster_0906	Zm00001d042796,Zm00001d042799
Cluster_0908	Zm00001d042904,Zm00001d042903
Cluster_0909	Zm00001d042906,Zm00001d042905,Zm00001d042901
Cluster_0912	Zm00001d039898,Zm00001d039895
Cluster_0913	Zm00001d042988,Zm00001d042989
Cluster_0914	Zm00001d043000,Zm00001d043003
Cluster_0915	Zm00001d043001,Zm00001d043004
Cluster_0917	Zm00001d043063,Zm00001d043066,Zm00001d043062
Cluster_0920	Zm00001d043129,Zm00001d043126
Cluster_0923	Zm00001d043216,Zm00001d043211
Cluster_0925	Zm00001d043252,Zm00001d043253,Zm00001d043256,Zm00001d043257
Cluster_0926	Zm00001d043286,Zm00001d043283,Zm00001d043284
Cluster_0927	Zm00001d043289,Zm00001d043290
Cluster_0929	Zm00001d039931,Zm00001d039923,Zm00001d039926,Zm00001d039920,Zm00001d039927,Zm00001d039930,Zm00001d039921,Zm00001d039924,Zm00001d039925,Zm00001d039922
Cluster_0931	Zm00001d039941,Zm00001d039935,Zm00001d039933,Zm00001d039936,Zm00001d039942
Cluster_0933	Zm00001d039947,Zm00001d039952,Zm00001d039956,Zm00001d039951
Cluster_0938	Zm00001d043622,Zm00001d043623,Zm00001d043624
Cluster_0939	Zm00001d043632,Zm00001d043625
Cluster_0940	Zm00001d043641,Zm00001d043643,Zm00001d043644
Cluster_0941	Zm00001d043650,Zm00001d043651
Cluster_0942	Zm00001d039958,Zm00001d039946
Cluster_0944	Zm00001d043716,Zm00001d043714,Zm00001d043719,Zm00001d043715
Cluster_0945	Zm00001d043740,Zm00001d043742,Zm00001d043741,Zm00001d043738
Cluster_0948	Zm00001d043789,Zm00001d043795,Zm00001d043787
Cluster_0949	Zm00001d043793,Zm00001d043792,Zm00001d043794
Cluster_0952	Zm00001d039969,Zm00001d039970
Cluster_0956	Zm00001d043882,Zm00001d043884
Cluster_0961	Zm00001d043981,Zm00001d043975,Zm00001d043980
Cluster_0962	Zm00001d044013,Zm00001d044014
Cluster_0964	Zm00001d044037,Zm00001d044033,Zm00001d044031
Cluster_0965	Zm00001d044043,Zm00001d044040,Zm00001d044048,Zm00001d044045,Zm00001d044050,Zm00001d044049
Cluster_0967	Zm00001d044099,Zm00001d044096,Zm00001d044095
Cluster_0968	Zm00001d039346,Zm00001d039345
Cluster_0969	Zm00001d044117,Zm00001d044118
Cluster_0971	Zm00001d044159,Zm00001d044153,Zm00001d044156,Zm00001d044147,Zm00001d044146,Zm00001d044157,Zm00001d044154
Cluster_0972	Zm00001d044203,Zm00001d044204,Zm00001d044208
Cluster_0974	Zm00001d044231,Zm00001d044237
Cluster_0976	Zm00001d044281,Zm00001d044283,Zm00001d044284
Cluster_0981	Zm00001d044351,Zm00001d044348,Zm00001d044352,Zm00001d044354,Zm00001d044345
Cluster_0983	Zm00001d044371,Zm00001d044370
Cluster_0985	Zm00001d044375,Zm00001d044376,Zm00001d044378
Cluster_0987	Zm00001d044396,Zm00001d044399,Zm00001d044401,Zm00001d044402
Cluster_0988	Zm00001d044400,Zm00001d044398
Cluster_0990	Zm00001d044433,Zm00001d044432
Cluster_0991	Zm00001d044438,Zm00001d044439,Zm00001d044440
Cluster_0993	Zm00001d044457,Zm00001d044458
Cluster_0994	Zm00001d044573,Zm00001d044570
Cluster_0995	Zm00001d044579,Zm00001d044580
Cluster_0996	Zm00001d044586,Zm00001d044587,Zm00001d044590,Zm00001d044589,Zm00001d044588
Cluster_0998	Zm00001d044623,Zm00001d044626,Zm00001d044627
Cluster_0999	Zm00001d044628,Zm00001d044624
Cluster_1002	Zm00001d044655,Zm00001d044654
Cluster_1003	Zm00001d044685,Zm00001d044686
Cluster_1004	Zm00001d040029,Zm00001d040028,Zm00001d040027
Cluster_1007	Zm00001d040059,Zm00001d040075,Zm00001d040071,Zm00001d040066,Zm00001d040067,Zm00001d040060,Zm00001d040064
Cluster_1010	Zm00001d039374,Zm00001d039375,Zm00001d039377
Cluster_1014	Zm00001d039392,Zm00001d039393
Cluster_1015	Zm00001d040210,Zm00001d040211,Zm00001d040212
Cluster_1017	Zm00001d040249,Zm00001d040247
Cluster_1018	Zm00001d040252,Zm00001d040253
Cluster_1020	Zm00001d039420,Zm00001d039423,Zm00001d039419
Cluster_1022	Zm00001d040387,Zm00001d040386
Cluster_1024	Zm00001d040423,Zm00001d040428,Zm00001d040426
Cluster_1027	Zm00001d040479,Zm00001d040497,Zm00001d040483
Cluster_1028	Zm00001d040493,Zm00001d040481,Zm00001d040501
Cluster_1031	Zm00001d040548,Zm00001d040549
Cluster_1032	Zm00001d040581,Zm00001d040578,Zm00001d040579
Cluster_1034	Zm00001d040609,Zm00001d040608
Cluster_1038	Zm00001d040659,Zm00001d040660
Cluster_1039	Zm00001d040692,Zm00001d040694
Cluster_1044	Zm00001d040731,Zm00001d040730,Zm00001d040733
Cluster_1045	Zm00001d039517,Zm00001d039514
Cluster_1047	Zm00001d040773,Zm00001d040772
Cluster_1048	Zm00001d040786,Zm00001d040785,Zm00001d040787
Cluster_1050	Zm00001d040836,Zm00001d040837
Cluster_1051	Zm00001d040847,Zm00001d040844
Cluster_1054	Zm00001d040874,Zm00001d040875
Cluster_1055	Zm00001d040911,Zm00001d040912
Cluster_1058	Zm00001d039569,Zm00001d039571,Zm00001d039574,Zm00001d039572,Zm00001d039573
Cluster_1061	Zm00001d039602,Zm00001d039604
Cluster_1065	Zm00001d041077,Zm00001d041076,Zm00001d041079
Cluster_1067	Zm00001d041087,Zm00001d041086
Cluster_1069	Zm00001d039642,Zm00001d039643,Zm00001d039644
Cluster_1071	Zm00001d050608,Zm00001d050609
Cluster_1073	Zm00001d048603,Zm00001d048604,Zm00001d048602,Zm00001d048600,Zm00001d048601,Zm00001d048588
Cluster_1074	Zm00001d048948,Zm00001d048950,Zm00001d048949,Zm00001d048947
Cluster_1075	Zm00001d050643,Zm00001d050642
Cluster_1077	Zm00001d050660,Zm00001d050658
Cluster_1078	Zm00001d048978,Zm00001d048973,Zm00001d048975,Zm00001d048972
Cluster_1081	Zm00001d050684,Zm00001d050682
Cluster_1084	Zm00001d048990,Zm00001d048989
Cluster_1087	Zm00001d049007,Zm00001d049006
Cluster_1089	Zm00001d049031,Zm00001d049032
Cluster_1090	Zm00001d050920,Zm00001d050921
Cluster_1092	Zm00001d051021,Zm00001d051033
Cluster_1093	Zm00001d051093,Zm00001d051099,Zm00001d051085,Zm00001d051088,Zm00001d051094,Zm00001d051096,Zm00001d051089,Zm00001d051083
Cluster_1094	Zm00001d051163,Zm00001d051161,Zm00001d051166,Zm00001d051164
Cluster_1097	Zm00001d051200,Zm00001d051202,Zm00001d051199
Cluster_1100	Zm00001d051246,Zm00001d051254,Zm00001d051251,Zm00001d051259
Cluster_1101	Zm00001d051267,Zm00001d051269
Cluster_1110	Zm00001d051413,Zm00001d051412
Cluster_1113	Zm00001d051496,Zm00001d051495,Zm00001d051492
Cluster_1114	Zm00001d049111,Zm00001d049110
Cluster_1115	Zm00001d051607,Zm00001d051609
Cluster_1118	Zm00001d051669,Zm00001d051668
Cluster_1119	Zm00001d051695,Zm00001d051692,Zm00001d051693
Cluster_1120	Zm00001d051735,Zm00001d051710,Zm00001d051715,Zm00001d051722,Zm00001d051730,Zm00001d051726,Zm00001d051720,Zm00001d051706,Zm00001d051719,Zm00001d051711,Zm00001d051707,Zm00001d051712,Zm00001d051724,Zm00001d051732,Zm00001d051708,Zm00001d051727
Cluster_1121	Zm00001d049134,Zm00001d049133
Cluster_1123	Zm00001d051961,Zm00001d051965,Zm00001d051958
Cluster_1128	Zm00001d052090,Zm00001d052091,Zm00001d052089
Cluster_1129	Zm00001d052127,Zm00001d052128
Cluster_1130	Zm00001d052164,Zm00001d052165
Cluster_1133	Zm00001d052211,Zm00001d052209,Zm00001d052210
Cluster_1138	Zm00001d052336,Zm00001d052335
Cluster_1142	Zm00001d052364,Zm00001d052363,Zm00001d052362
Cluster_1143	Zm00001d052372,Zm00001d052373,Zm00001d052371
Cluster_1145	Zm00001d052412,Zm00001d052413
Cluster_1152	Zm00001d052509,Zm00001d052513
Cluster_1153	Zm00001d049175,Zm00001d049176
Cluster_1155	Zm00001d052580,Zm00001d052557,Zm00001d052572
Cluster_1156	Zm00001d049179,Zm00001d049181
Cluster_1157	Zm00001d052604,Zm00001d052601
Cluster_1159	Zm00001d052628,Zm00001d052627,Zm00001d052625
Cluster_1161	Zm00001d052639,Zm00001d052640
Cluster_1162	Zm00001d049183,Zm00001d049184
Cluster_1163	Zm00001d052675,Zm00001d052673,Zm00001d052676
Cluster_1164	Zm00001d052683,Zm00001d052684
Cluster_1166	Zm00001d052792,Zm00001d052793
Cluster_1167	Zm00001d052818,Zm00001d052819
Cluster_1168	Zm00001d052828,Zm00001d052827,Zm00001d052829,Zm00001d052831
Cluster_1170	Zm00001d052841,Zm00001d052842,Zm00001d052840
Cluster_1174	Zm00001d052940,Zm00001d052937,Zm00001d052946,Zm00001d052939
Cluster_1175	Zm00001d052965,Zm00001d052966
Cluster_1176	Zm00001d052992,Zm00001d052993,Zm00001d052996
Cluster_1177	Zm00001d052997,Zm00001d052987
Cluster_1178	Zm00001d052998,Zm00001d052990,Zm00001d052989
Cluster_1179	Zm00001d053030,Zm00001d053031
Cluster_1183	Zm00001d049219,Zm00001d049217
Cluster_1185	Zm00001d049220,Zm00001d049221
Cluster_1189	Zm00001d053296,Zm00001d053295
Cluster_1191	Zm00001d053363,Zm00001d053366
Cluster_1192	Zm00001d053364,Zm00001d053365
Cluster_1193	Zm00001d053385,Zm00001d053387
Cluster_1194	Zm00001d053386,Zm00001d053384
Cluster_1195	Zm00001d053401,Zm00001d053403,Zm00001d053402
Cluster_1196	Zm00001d053435,Zm00001d053433,Zm00001d053434
Cluster_1197	Zm00001d053513,Zm00001d053514
Cluster_1198	Zm00001d053524,Zm00001d053530,Zm00001d053534,Zm00001d053526,Zm00001d053537,Zm00001d053528,Zm00001d053538,Zm00001d053533,Zm00001d053529,Zm00001d053531
Cluster_1199	Zm00001d049259,Zm00001d049260
Cluster_1200	Zm00001d053579,Zm00001d053578
Cluster_1203	Zm00001d053636,Zm00001d053633,Zm00001d053632,Zm00001d053635,Zm00001d053630
Cluster_1205	Zm00001d053684,Zm00001d053685
Cluster_1210	Zm00001d053838,Zm00001d053834
Cluster_1211	Zm00001d053866,Zm00001d053865,Zm00001d053867,Zm00001d053864
Cluster_1215	Zm00001d053916,Zm00001d053918
Cluster_1216	Zm00001d049282,Zm00001d049292
Cluster_1218	Zm00001d053940,Zm00001d053943
Cluster_1221	Zm00001d053960,Zm00001d053941,Zm00001d053944,Zm00001d053942,Zm00001d053950
Cluster_1222	Zm00001d054031,Zm00001d054032
Cluster_1224	Zm00001d054054,Zm00001d054052
Cluster_1225	Zm00001d054057,Zm00001d054060
Cluster_1228	Zm00001d049290,Zm00001d049291
Cluster_1230	Zm00001d049299,Zm00001d049301
Cluster_1231	Zm00001d049331,Zm00001d049332
Cluster_1232	Zm00001d048660,Zm00001d048656
Cluster_1233	Zm00001d048663,Zm00001d048665
Cluster_1234	Zm00001d049439,Zm00001d049418,Zm00001d049419,Zm00001d049428,Zm00001d049423,Zm00001d049424,Zm00001d049427,Zm00001d049436,Zm00001d049435,Zm00001d049421,Zm00001d049430,Zm00001d049431,Zm00001d049432,Zm00001d049433,Zm00001d049437,Zm00001d049420,Zm00001d049438,Zm00001d049426,Zm00001d049434,Zm00001d049425
Cluster_1235	Zm00001d049446,Zm00001d049445
Cluster_1238	Zm00001d049508,Zm00001d049509
Cluster_1239	Zm00001d049528,Zm00001d049532
Cluster_1242	Zm00001d048702,Zm00001d048705,Zm00001d048710,Zm00001d048703
Cluster_1246	Zm00001d048707,Zm00001d048711
Cluster_1248	Zm00001d049668,Zm00001d049666
Cluster_1251	Zm00001d048720,Zm00001d048719
Cluster_1252	Zm00001d049736,Zm00001d049737
Cluster_1255	Zm00001d049781,Zm00001d049777,Zm00001d049774
Cluster_1257	Zm00001d049792,Zm00001d049793
Cluster_1259	Zm00001d049824,Zm00001d049822
Cluster_1260	Zm00001d049838,Zm00001d049840,Zm00001d049842,Zm00001d049843,Zm00001d049844,Zm00001d049841
Cluster_1262	Zm00001d049861,Zm00001d049862
Cluster_1263	Zm00001d048752,Zm00001d048754,Zm00001d048748,Zm00001d048746,Zm00001d048757
Cluster_1264	Zm00001d048755,Zm00001d048753
Cluster_1266	Zm00001d048773,Zm00001d048774,Zm00001d048771,Zm00001d048776,Zm00001d048775
Cluster_1269	Zm00001d049996,Zm00001d049997
Cluster_1270	Zm00001d048812,Zm00001d048806,Zm00001d048807,Zm00001d048809,Zm00001d048813,Zm00001d048816,Zm00001d048817,Zm00001d048818,Zm00001d048810,Zm00001d048808
Cluster_1271	Zm00001d048839,Zm00001d048840
Cluster_1272	Zm00001d048847,Zm00001d048848,Zm00001d048849,Zm00001d048850,Zm00001d048851,Zm00001d048852
Cluster_1273	Zm00001d050074,Zm00001d050077,Zm00001d050076
Cluster_1275	Zm00001d048865,Zm00001d048875,Zm00001d048864
Cluster_1276	Zm00001d048871,Zm00001d048872,Zm00001d048870
Cluster_1278	Zm00001d048874,Zm00001d048867
Cluster_1279	Zm00001d050141,Zm00001d050140
Cluster_1280	Zm00001d050160,Zm00001d050171
Cluster_1281	Zm00001d050161,Zm00001d050162
Cluster_1282	Zm00001d050169,Zm00001d050170
Cluster_1283	Zm00001d050196,Zm00001d050198
Cluster_1289	Zm00001d050388,Zm00001d050386
Cluster_1292	Zm00001d048593,Zm00001d048592
Cluster_1293	Zm00001d050488,Zm00001d050489
Cluster_1294	Zm00001d050503,Zm00001d050502
Cluster_1296	Zm00001d015592,Zm00001d015579,Zm00001d015589,Zm00001d015578
Cluster_1298	Zm00001d013387,Zm00001d013388,Zm00001d013386
Cluster_1300	Zm00001d015693,Zm00001d015692,Zm00001d015695
Cluster_1303	Zm00001d013423,Zm00001d013418
Cluster_1304	Zm00001d013435,Zm00001d013439,Zm00001d013434,Zm00001d013433,Zm00001d013440
Cluster_1309	Zm00001d015825,Zm00001d015821,Zm00001d015820
Cluster_1310	Zm00001d015845,Zm00001d015846
Cluster_1311	Zm00001d015914,Zm00001d015912,Zm00001d015905
Cluster_1312	Zm00001d013512,Zm00001d013516,Zm00001d013514
Cluster_1313	Zm00001d015963,Zm00001d015964
Cluster_1314	Zm00001d015975,Zm00001d015976
Cluster_1316	Zm00001d016024,Zm00001d016025,Zm00001d016035,Zm00001d016027,Zm00001d016022
Cluster_1317	Zm00001d016054,Zm00001d016056
Cluster_1319	Zm00001d016087,Zm00001d016085
Cluster_1320	Zm00001d013575,Zm00001d013578
Cluster_1321	Zm00001d016145,Zm00001d016143,Zm00001d016142,Zm00001d016140,Zm00001d016136,Zm00001d016139,Zm00001d016137
Cluster_1322	Zm00001d016156,Zm00001d016155,Zm00001d016157
Cluster_1323	Zm00001d016158,Zm00001d016159
Cluster_1324	Zm00001d016181,Zm00001d016180
Cluster_1325	Zm00001d016185,Zm00001d016182,Zm00001d016179,Zm00001d016177
Cluster_1326	Zm00001d016203,Zm00001d016207
Cluster_1327	Zm00001d016219,Zm00001d016220,Zm00001d016221
Cluster_1330	Zm00001d013616,Zm00001d013617,Zm00001d013619
Cluster_1335	Zm00001d016393,Zm00001d016389,Zm00001d016391,Zm00001d016387
Cluster_1337	Zm00001d016432,Zm00001d016417,Zm00001d016419,Zm00001d016431,Zm00001d016414,Zm00001d016415,Zm00001d016420,Zm00001d016427,Zm00001d016435,Zm00001d016429,Zm00001d016428,Zm00001d016424
Cluster_1338	Zm00001d016459,Zm00001d016460
Cluster_1339	Zm00001d016477,Zm00001d016476
Cluster_1342	Zm00001d013662,Zm00001d013663,Zm00001d013661
Cluster_1343	Zm00001d016567,Zm00001d016568
Cluster_1349	Zm00001d016660,Zm00001d016661
Cluster_1351	Zm00001d016740,Zm00001d016738,Zm00001d016741
Cluster_1352	Zm00001d016782,Zm00001d016773,Zm00001d016777
Cluster_1353	Zm00001d012899,Zm00001d012906,Zm00001d012900
Cluster_1355	Zm00001d016841,Zm00001d016842,Zm00001d016844
Cluster_1356	Zm00001d016871,Zm00001d016867,Zm00001d016868,Zm00001d016870
Cluster_1358	Zm00001d016884,Zm00001d016885
Cluster_1360	Zm00001d016949,Zm00001d016946,Zm00001d016947,Zm00001d016948
Cluster_1363	Zm00001d017001,Zm00001d017009,Zm00001d017014,Zm00001d017008,Zm00001d017019
Cluster_1365	Zm00001d017033,Zm00001d017032
Cluster_1367	Zm00001d013720,Zm00001d013719
Cluster_1371	Zm00001d012909,Zm00001d012907,Zm00001d012908
Cluster_1373	Zm00001d017228,Zm00001d017229
Cluster_1374	Zm00001d017236,Zm00001d017222,Zm00001d017238,Zm00001d017237,Zm00001d017234
Cluster_1375	Zm00001d017275,Zm00001d017274,Zm00001d017279,Zm00001d017276
Cluster_1379	Zm00001d017335,Zm00001d017334
Cluster_1380	Zm00001d017336,Zm00001d017340
Cluster_1381	Zm00001d017383,Zm00001d017385
Cluster_1382	Zm00001d017415,Zm00001d017417,Zm00001d017416
Cluster_1383	Zm00001d017427,Zm00001d017429
Cluster_1386	Zm00001d017477,Zm00001d017478,Zm00001d017480
Cluster_1387	Zm00001d013768,Zm00001d013769
Cluster_1388	Zm00001d017493,Zm00001d017494,Zm00001d017495
Cluster_1392	Zm00001d017570,Zm00001d017571
Cluster_1396	Zm00001d017647,Zm00001d017646,Zm00001d017648
Cluster_1399	Zm00001d017714,Zm00001d017713
Cluster_1400	Zm00001d017734,Zm00001d017732,Zm00001d017733,Zm00001d017737,Zm00001d017735,Zm00001d017740,Zm00001d017731,Zm00001d017736,Zm00001d017741
Cluster_1404	Zm00001d017840,Zm00001d017841
Cluster_1406	Zm00001d017865,Zm00001d017868
Cluster_1407	Zm00001d017866,Zm00001d017869,Zm00001d017864,Zm00001d017867
Cluster_1413	Zm00001d017973,Zm00001d017974,Zm00001d017975
Cluster_1414	Zm00001d013811,Zm00001d013809,Zm00001d013810
Cluster_1417	Zm00001d018085,Zm00001d018086
Cluster_1420	Zm00001d018106,Zm00001d018105,Zm00001d018107
Cluster_1421	Zm00001d018123,Zm00001d018124
Cluster_1424	Zm00001d018182,Zm00001d018185
Cluster_1425	Zm00001d018184,Zm00001d018181
Cluster_1426	Zm00001d018187,Zm00001d018183
Cluster_1427	Zm00001d018252,Zm00001d018253,Zm00001d018251
Cluster_1430	Zm00001d018323,Zm00001d018324,Zm00001d018321,Zm00001d018322
Cluster_1433	Zm00001d018345,Zm00001d018346
Cluster_1434	Zm00001d018439,Zm00001d018440
Cluster_1436	Zm00001d018506,Zm00001d018505
Cluster_1437	Zm00001d018562,Zm00001d018560,Zm00001d018565
Cluster_1439	Zm00001d012949,Zm00001d012946
Cluster_1440	Zm00001d012801,Zm00001d012806
Cluster_1441	Zm00001d013900,Zm00001d013903
Cluster_1442	Zm00001d013904,Zm00001d013901
Cluster_1446	Zm00001d012980,Zm00001d012981,Zm00001d012982,Zm00001d012979
Cluster_1447	Zm00001d014025,Zm00001d014027
Cluster_1449	Zm00001d014063,Zm00001d014056,Zm00001d014062
Cluster_1450	Zm00001d014136,Zm00001d014134
Cluster_1451	Zm00001d014153,Zm00001d014155
Cluster_1456	Zm00001d014302,Zm00001d014303
Cluster_1457	Zm00001d014328,Zm00001d014329
Cluster_1458	Zm00001d013066,Zm00001d013067
Cluster_1459	Zm00001d014351,Zm00001d014352,Zm00001d014353
Cluster_1460	Zm00001d014369,Zm00001d014367
Cluster_1462	Zm00001d014394,Zm00001d014397
Cluster_1463	Zm00001d014395,Zm00001d014399
Cluster_1464	Zm00001d014445,Zm00001d014446
Cluster_1467	Zm00001d014456,Zm00001d014458,Zm00001d014451
Cluster_1469	Zm00001d014468,Zm00001d014470,Zm00001d014469
Cluster_1472	Zm00001d014511,Zm00001d014510
Cluster_1473	Zm00001d014542,Zm00001d014548,Zm00001d014540
Cluster_1474	Zm00001d014557,Zm00001d014555
Cluster_1475	Zm00001d014589,Zm00001d014588
Cluster_1476	Zm00001d014608,Zm00001d014601,Zm00001d014603,Zm00001d014606,Zm00001d014602
Cluster_1477	Zm00001d014614,Zm00001d014615,Zm00001d014617,Zm00001d014613
Cluster_1479	Zm00001d014630,Zm00001d014628,Zm00001d014629
Cluster_1480	Zm00001d014652,Zm00001d014650,Zm00001d014654,Zm00001d014649
Cluster_1486	Zm00001d014818,Zm00001d014817,Zm00001d014819,Zm00001d014820
Cluster_1487	Zm00001d014835,Zm00001d014834,Zm00001d014839
Cluster_1488	Zm00001d014842,Zm00001d014840
Cluster_1489	Zm00001d014867,Zm00001d014866,Zm00001d014865
